step,strat,count
397,"3,0",0
397,"2,1",0
397,"1,2",0
397,"0,3",5
398,"3,0",0
398,"2,1",0
398,"1,2",0
398,"0,3",5
399,"3,0",0
399,"2,1",0
399,"1,2",0
399,"0,3",5
400,"3,0",0
400,"2,1",0
400,"1,2",0
400,"0,3",5
401,"3,0",0
401,"2,1",0
401,"1,2",0
401,"0,3",5
402,"3,0",0
402,"2,1",0
402,"1,2",0
402,"0,3",5
403,"3,0",0
403,"2,1",0
403,"1,2",0
403,"0,3",5
404,"3,0",0
404,"2,1",0
404,"1,2",0
404,"0,3",5
405,"3,0",0
405,"2,1",0
405,"1,2",0
405,"0,3",5
406,"3,0",0
406,"2,1",0
406,"1,2",0
406,"0,3",5
407,"3,0",0
407,"2,1",0
407,"1,2",0
407,"0,3",5
408,"3,0",0
408,"2,1",0
408,"1,2",0
408,"0,3",5
409,"3,0",0
409,"2,1",0
409,"1,2",0
409,"0,3",5
410,"3,0",0
410,"2,1",0
410,"1,2",0
410,"0,3",5
411,"3,0",0
411,"2,1",0
411,"1,2",0
411,"0,3",5
412,"3,0",0
412,"2,1",0
412,"1,2",0
